Overhead,Command,Shared Object,Symbol
0.01,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] tcg\_out\_modrm
0.01,qemu-x86\_64,[kernel],[k] activate\_page
0.01,qemu-x86\_64,[kernel],[k] fsnotify
0.01,qemu-x86\_64,[kernel],[k] \_spin\_lock
0.01,qemu-x86\_64,[kernel],[k] generic\_segment\_checks
0.01,qemu-x86\_64,[kernel],[k] page\_evictable
0.01,qemu-x86\_64,[kernel],[k] next\_zones\_zonelist
0.01,qemu-x86\_64,[kernel],[k] inotify\_inode\_queue\_event
0.01,qemu-x86\_64,[kernel],[k] apparmor\_file\_permission
0.01,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] T.476
