Overhead,Command,Shared Object,Symbol
0.03,qemu-x86_64,[kernel],[k] task\_of
0.03,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_punpckldq\_xmm
0.03,qemu-x86_64,[kernel],[k] ext4\_da\_write\_end
0.02,qemu-x86_64,[kernel],[k] update\_context\_time
0.02,qemu-x86_64,[kernel],[k] ext4\_xattr\_security\_get
0.02,qemu-x86_64,[kernel],[k] mark\_buffer\_dirty
0.02,qemu-x86_64,[kernel],[k] \_\_wake\_up\_bit
0.02,qemu-x86_64,[kernel],[k] jbd2\_journal\_stop
0.02,qemu-x86_64,[kernel],[k] file\_remove\_suid
0.02,qemu-x86_64,[kernel],[k] ext4\_mark\_iloc\_dirty
0.02,qemu-x86_64,[kernel],[k] should\_remove\_suid
0.02,qemu-x86_64,[kernel],[k] put\_prev\_task\_fair
0.02,qemu-x86_64,[kernel],[k] ext4\_dirty\_inode
0.02,qemu-x86_64,[kernel],[k] put\_page
0.02,qemu-x86_64,[kernel],[k] jbd2\_journal\_start
0.02,qemu-x86_64,[kernel],[k] page\_waitqueue
0.02,qemu-x86_64,[kernel],[k] ext4\_get\_inode\_flags
0.02,qemu-x86_64,[kernel],[k] apparmor\_file\_permission
0.02,qemu-x86_64,[kernel],[k] sys\_poll
0.02,qemu-x86_64,[kernel],[k] unlock\_page
0.02,qemu-x86_64,[kernel],[k] sys\_write
0.02,qemu-x86_64,[kernel],[k] iov\_iter\_copy\_from\_user\_atomic
0.02,qemu-x86_64,[kernel],[k] find\_lock\_page
0.02,qemu-x86_64,[kernel],[k] \_spin\_lock
0.02,qemu-x86_64,[kernel],[k] sched\_clock
0.02,qemu-x86_64,[kernel],[k] current\_fs\_time
0.02,qemu-x86_64,[kernel],[k] kmem\_cache\_free
0.01,qemu-x86_64,[kernel],[k] dequeue\_task
0.01,qemu-x86_64,[kernel],[k] jbd2\_journal\_cancel\_revoke
0.01,qemu-x86_64,[kernel],[k] jbd2\_journal\_put\_journal\_head
